"No.","Time","Source","Destination","Protocol","Length","Info"
"8614","100.355480942","172.241.0.21","192.168.1.107","TCP","174","6319  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8615","100.356944734","RealtekU_12:35:02","Broadcast","ARP","60","Who has 172.241.0.21? Tell 10.0.2.2"
"8616","100.365925112","238.62.107.184","192.168.1.107","TCP","174","6320  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8617","100.368883758","154.230.35.169","192.168.1.107","TCP","174","6321  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8618","100.370315762","RealtekU_12:35:02","Broadcast","ARP","60","Who has 154.230.35.169? Tell 10.0.2.2"
"8619","100.378114853","72.167.140.113","192.168.1.107","TCP","174","6322  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8620","100.379992885","RealtekU_12:35:02","Broadcast","ARP","60","Who has 72.167.140.113? Tell 10.0.2.2"
"8621","100.383398238","190.247.201.229","192.168.1.107","TCP","174","6323  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8622","100.383969759","RealtekU_12:35:02","Broadcast","ARP","60","Who has 190.247.201.229? Tell 10.0.2.2"
"8623","100.388147702","242.242.254.21","192.168.1.107","TCP","174","6324  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8624","100.389442838","192.184.21.15","192.168.1.107","TCP","174","6325  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8625","100.389987700","RealtekU_12:35:02","Broadcast","ARP","60","Who has 192.184.21.15? Tell 10.0.2.2"
"8626","100.391940828","224.48.39.19","192.168.1.107","TCP","174","6326  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8627","100.393982019","155.213.242.21","192.168.1.107","TCP","174","6327  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8628","100.394732216","RealtekU_12:35:02","Broadcast","ARP","60","Who has 155.213.242.21? Tell 10.0.2.2"
"8629","100.407633112","241.129.160.74","192.168.1.107","TCP","174","6328  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8630","100.410266357","73.239.129.57","192.168.1.107","TCP","174","6329  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8631","100.410917734","RealtekU_12:35:02","Broadcast","ARP","60","Who has 73.239.129.57? Tell 10.0.2.2"
"8632","100.443790503","67.190.50.35","192.168.1.107","TCP","174","6330  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8633","100.445501303","RealtekU_12:35:02","Broadcast","ARP","60","Who has 67.190.50.35? Tell 10.0.2.2"
"8634","100.452422427","229.167.26.39","192.168.1.107","TCP","174","6331  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8635","100.459170155","49.198.158.165","192.168.1.107","TCP","174","6332  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8636","100.461355608","RealtekU_12:35:02","Broadcast","ARP","60","Who has 49.198.158.165? Tell 10.0.2.2"
"8637","100.467145937","115.34.40.166","192.168.1.107","TCP","174","6333  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8638","100.468492541","RealtekU_12:35:02","Broadcast","ARP","60","Who has 115.34.40.166? Tell 10.0.2.2"
"8639","100.471286132","158.19.104.216","192.168.1.107","TCP","174","6334  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8640","100.472797611","RealtekU_12:35:02","Broadcast","ARP","60","Who has 158.19.104.216? Tell 10.0.2.2"
"8641","100.473679857","236.254.30.115","192.168.1.107","TCP","174","6335  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8642","100.474498911","249.85.30.113","192.168.1.107","TCP","174","6336  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8643","100.475987178","254.4.40.241","192.168.1.107","TCP","174","6337  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8644","100.482658063","213.91.127.85","192.168.1.107","TCP","174","6338  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
"8645","100.483267265","RealtekU_12:35:02","Broadcast","ARP","60","Who has 213.91.127.85? Tell 10.0.2.2"
"8646","100.487154548","130.150.88.93","192.168.1.107","TCP","174","6339  >  80 [<None>] Seq=1 Win=512 Len=120 [TCP segment of a reassembled PDU]"
